doi,pmid,pmcid,label,source,journal,country,pub_year
10.3727/096504016x14719078133366,28081734,,paper_mill,retraction_watch,Oncology Research Featuring Preclinical and Clinical Cancer Therapeutics,China,2017
10.3727/096504017x15144748428127,29295724,,paper_mill,retraction_watch,Oncology Research Featuring Preclinical and Clinical Cancer Therapeutics,China,2018
10.3892/ijo.2019.4922,31789387,,paper_mill,retraction_watch,International Journal of Oncology,China,2019
10.3892/ol.2020.12253,33193850,,paper_mill,retraction_watch,Oncology Letters,China,2020
10.1177/09603271241293119,39462779,,paper_mill,retraction_watch,Human and Experimental Toxicology,China,2024
10.3892/mmr.2021.12099,33880593,,paper_mill,retraction_watch,Molecular Medicine Reports,China,2021
10.1177/09603271241292169,39397480,,paper_mill,retraction_watch,Human and Experimental Toxicology,China,2024
10.1177/09603271241229140,38289222,,paper_mill,retraction_watch,Human and Experimental Toxicology,China,2024
10.1177/09603271241282584,39240701,,paper_mill,retraction_watch,Human and Experimental Toxicology,China,2024
10.1177/09603271221084671,35481447,,paper_mill,retraction_watch,Human and Experimental Toxicology,China,2022
10.1177/09603271241279166,39190898,,paper_mill,retraction_watch,Human and Experimental Toxicology,China,2024
10.1155/2021/7065963,34497853,,paper_mill,retraction_watch,BioMed Research International,China,2021
10.1155/2020/9854964,32714990,,paper_mill,retraction_watch,BioMed Research International,China,2020
10.1155/2022/7587398,35178454,,paper_mill,retraction_watch,BioMed Research International,China,2022
10.1155/2020/2748219,32382540,,paper_mill,retraction_watch,BioMed Research International,China,2020
10.1155/2022/1787854,35872851,,paper_mill,retraction_watch,BioMed Research International,China,2022
10.1155/2021/7377299,34869770,,paper_mill,retraction_watch,BioMed Research International,China,2021
10.1155/2022/6589651,35097124,,paper_mill,retraction_watch,BioMed Research International,China,2022
10.1155/2022/4085039,35782062,,paper_mill,retraction_watch,BioMed Research International,China,2022
10.1155/2022/3092063,35769676,,paper_mill,retraction_watch,BioMed Research International,China,2022
10.1155/2022/8576768,35083334,,paper_mill,retraction_watch,BioMed Research International,India,2022
10.1155/2022/1948657,35141331,,paper_mill,retraction_watch,BioMed Research International,China,2022
10.1155/2021/7329072,34712735,,paper_mill,retraction_watch,BioMed Research International,China,2021
10.1155/2021/2252705,34368345,,paper_mill,retraction_watch,BioMed Research International,China,2021
10.1155/2021/5546612,33937395,,paper_mill,retraction_watch,BioMed Research International,China,2021
10.1155/2020/9825073,32076624,,paper_mill,retraction_watch,BioMed Research International,China,2020
10.1155/2020/2547902,32351986,,paper_mill,retraction_watch,BioMed Research International,China,2020
10.1155/2021/1382061,35005012,,paper_mill,retraction_watch,BioMed Research International,China,2021
10.1155/2020/5459209,32766308,,paper_mill,retraction_watch,BioMed Research International,China;Japan,2020
10.1155/2022/2786567,35686230,,paper_mill,retraction_watch,BioMed Research International,China,2022
10.1155/2022/8131531,35111848,,paper_mill,retraction_watch,BioMed Research International,China,2022
10.1155/2020/9567846,33123591,,paper_mill,retraction_watch,BioMed Research International,China,2020
10.1155/2021/8635381,34616847,,paper_mill,retraction_watch,BioMed Research International,China,2021
10.1155/2020/6364801,32352004,,paper_mill,retraction_watch,BioMed Research International,China,2020
10.1155/2022/1740295,35378785,,paper_mill,retraction_watch,BioMed Research International,China,2022
10.1155/2022/3858249,35993042,,paper_mill,retraction_watch,BioMed Research International,China,2022
10.1155/2022/5793912,35937409,,paper_mill,retraction_watch,BioMed Research International,China,2022
10.1155/2022/3546795,35813236,,paper_mill,retraction_watch,BioMed Research International,China,2022
10.1155/2020/1974506,32964019,,paper_mill,retraction_watch,BioMed Research International,China,2020
10.1155/2022/7896218,35692595,,paper_mill,retraction_watch,BioMed Research International,China,2022
10.1155/2022/7509620,35402611,,paper_mill,retraction_watch,BioMed Research International,China,2022
10.1155/2021/9917060,33997049,,paper_mill,retraction_watch,BioMed Research International,China,2021
10.1155/2021/5771101,34877356,,paper_mill,retraction_watch,BioMed Research International,China,2021
10.1155/2020/4965670,33204699,,paper_mill,retraction_watch,BioMed Research International,China,2020
10.1155/2022/8282624,35909487,,paper_mill,retraction_watch,BioMed Research International,China,2022
10.1155/2020/8854245,33204722,,paper_mill,retraction_watch,BioMed Research International,China,2020
10.1155/2022/2309339,35845958,,paper_mill,retraction_watch,BioMed Research International,China,2022
10.1155/2020/8435420,32685532,,paper_mill,retraction_watch,BioMed Research International,China,2020
10.1155/2022/8636527,35463992,,paper_mill,retraction_watch,BioMed Research International,China,2022
10.1155/2022/1776082,35127939,,paper_mill,retraction_watch,BioMed Research International,Australia;Bangladesh;Canada;India;Iraq;Saudi Arabia,2022
10.1155/2021/9977001,35005025,,paper_mill,retraction_watch,BioMed Research International,China,2021
10.1155/2021/6674988,33898626,,paper_mill,retraction_watch,BioMed Research International,China;Germany;Japan;United States,2021
10.1155/2022/8740408,35647181,,paper_mill,retraction_watch,BioMed Research International,China,2022
10.1155/2020/3740418,32685476,,paper_mill,retraction_watch,BioMed Research International,China,2020
10.1155/2022/1893351,35774271,,paper_mill,retraction_watch,BioMed Research International,China,2022
10.1155/2022/9170722,35769670,,paper_mill,retraction_watch,BioMed Research International,China,2022
10.1155/2022/2587120,35496037,,paper_mill,retraction_watch,BioMed Research International,China,2022
10.1155/2021/9938515,34395629,,paper_mill,retraction_watch,BioMed Research International,China,2021
10.1155/2022/6918396,35909488,,paper_mill,retraction_watch,BioMed Research International,China,2022
