doi,modality,split,label
10.3892/mmr.2019.9805,text,internal,paper_mill
10.1155/2022/9288476,text,internal,paper_mill
10.1177/1533033818797587,text,internal,paper_mill
10.3892/ol.2017.6210,text,internal,paper_mill
10.1016/j.cellsig.2021.110029,text,internal,paper_mill
10.1042/bsr20190283,text,internal,paper_mill
10.1155/2021/8371996,text,internal,paper_mill
10.1155/2022/9180216,text,internal,paper_mill
10.2147/ott.s213231,text,internal,paper_mill
10.1155/2022/1121312,text,internal,paper_mill
10.3892/ol.2018.8128,text,internal,paper_mill
10.1002/jcb.27036,text,internal,paper_mill
10.3892/ijo.2014.2577,text,internal,paper_mill
10.3233/cbm-170317,text,internal,paper_mill
10.1080/24701556.2020.1727516,text,internal,paper_mill
10.1039/c8ra05855e,text,internal,paper_mill
10.3892/etm.2018.5710,text,internal,paper_mill
10.3892/mmr.2017.6658,text,internal,paper_mill
10.1155/2022/4539125,text,internal,paper_mill
10.3892/mmr.2020.11634,text,internal,paper_mill
10.1155/2022/7065845,text,internal,paper_mill
10.1002/cbf.3349,text,internal,paper_mill
10.1155/2022/6890790,text,internal,paper_mill
10.3892/ol.2018.9335,text,internal,paper_mill
10.1155/2020/5459209,text,internal,paper_mill
10.26355/eurrev_201908_18650,text,internal,paper_mill
10.1155/2022/2832739,text,internal,paper_mill
10.1155/2022/4622877,text,internal,paper_mill
10.26355/eurrev_201907_18431,text,internal,paper_mill
10.1002/jcb.26537,text,internal,paper_mill
10.1002/cam4.2586,text,internal,paper_mill
10.1155/2020/9825073,text,internal,paper_mill
10.1155/2022/2335443,text,internal,paper_mill
10.3892/mmr.2016.4901,text,internal,paper_mill
10.3892/or.2017.5810,text,internal,paper_mill
10.1155/2022/6716143,text,internal,paper_mill
10.3892/ijo.2017.3928,text,internal,paper_mill
10.3727/096504016x14719078133366,text,internal,paper_mill
10.1155/2022/5113447,text,internal,paper_mill
10.1177/09603271241293119,text,internal,paper_mill
10.1155/2021/5005459,text,internal,paper_mill
10.1155/2022/6883739,text,internal,paper_mill
10.1155/2021/1001446,text,internal,paper_mill
10.1155/2022/2240605,text,internal,paper_mill
10.26355/eurrev_201907_18296,text,internal,paper_mill
10.1155/2022/1864116,text,internal,paper_mill
10.1155/2022/8308192,text,internal,paper_mill
10.3892/or.2015.3832,text,internal,paper_mill
10.1159/000491718,text,internal,paper_mill
10.26355/eurrev_202001_19893,text,internal,paper_mill
10.1186/s12881-019-0940-6,text,internal,paper_mill
10.1088/1742-6596/1879/2/022088,text,internal,paper_mill
10.1002/zaac.201700190,text,internal,paper_mill
10.1038/aps.2017.154,text,internal,paper_mill
10.1371/journal.pone.0092230,text,internal,paper_mill
10.1002/jcb.26720,text,internal,paper_mill
10.1002/jcb.27444,text,internal,paper_mill
10.3892/mmr.2016.5127,text,internal,paper_mill
10.1042/bsr20191050,text,internal,paper_mill
10.3892/ijo.2015.2959,text,internal,paper_mill
10.1155/2022/8447083,text,internal,paper_mill
10.26355/eurrev_201903_17380,text,internal,paper_mill
10.2147/rmhp.s260113,text,internal,paper_mill
10.1080/24701556.2021.1952236,text,internal,paper_mill
10.3892/ijmm.2020.4826,text,internal,paper_mill
10.1002/jcb.28611,text,internal,paper_mill
10.1177/2058739219845534,text,internal,paper_mill
10.1080/21691401.2019.1648279,text,internal,paper_mill
10.1155/2022/5061112,text,internal,paper_mill
10.1155/2022/9693746,text,internal,paper_mill
10.3233/cbm-201518,text,internal,paper_mill
10.1155/2022/6989583,text,internal,paper_mill
10.1089/cbr.2014.1728,text,internal,paper_mill
10.1155/2022/3719857,text,internal,paper_mill
10.1002/ar.24024,text,internal,paper_mill
10.1155/2022/4326728,text,internal,paper_mill
10.3892/or.2016.4700,text,internal,paper_mill
10.1155/2022/4519982,text,internal,paper_mill
10.1155/2021/7773163,text,internal,paper_mill
10.3892/mmr.2017.8350,text,internal,paper_mill
10.1155/2022/7595230,text,internal,paper_mill
10.1080/15384101.2018.1475826,text,internal,paper_mill
10.26355/eurrev_202001_19909,text,internal,paper_mill
10.1002/jcb.29431,text,internal,paper_mill
10.2147/dddt.s146925,text,internal,paper_mill
10.3892/etm.2017.4655,text,internal,paper_mill
10.1159/000484118,text,internal,paper_mill
10.3892/or.2017.5604,text,internal,paper_mill
10.26355/eurrev_202002_20158,text,internal,paper_mill
10.3892/mmr.2016.5572,text,internal,paper_mill
10.1155/2022/3140070,text,internal,paper_mill
10.1155/2022/5188202,text,internal,paper_mill
10.26355/eurrev_201906_18069,text,internal,paper_mill
10.1155/2022/9294634,text,internal,paper_mill
10.1155/2022/6441179,text,internal,paper_mill
10.1016/j.lfs.2020.118794,text,internal,paper_mill
10.1002/ar.24324,text,internal,paper_mill
10.1186/1471-2091-13-25,text,internal,paper_mill
10.1155/2020/4637109,text,internal,paper_mill
10.1155/2022/2338622,text,internal,paper_mill
10.1155/2022/9490827,text,internal,paper_mill
10.1155/2022/1790104,text,internal,paper_mill
10.1155/2022/1133332,text,internal,paper_mill
10.1042/bsr20170186,text,internal,paper_mill
10.1155/2021/9935451,text,internal,paper_mill
10.1155/2022/7350489,text,internal,paper_mill
10.1039/c9ra06188f,text,internal,paper_mill
10.1155/2022/1475871,text,internal,paper_mill
10.3892/mmr.2017.6995,text,internal,paper_mill
10.1155/2021/3520034,text,internal,paper_mill
10.1155/2022/7171126,text,internal,paper_mill
10.1155/2022/2032895,text,internal,paper_mill
10.1016/j.omtn.2019.10.047,text,internal,paper_mill
10.3892/mmr.2014.2684,text,internal,paper_mill
10.1155/2022/2476126,text,internal,paper_mill
10.3892/mmr.2017.6816,text,internal,paper_mill
10.1159/000481839,text,internal,paper_mill
10.3233/jifs-231176,text,internal,paper_mill
10.1042/bsr20194496,text,internal,paper_mill
10.1155/2022/9995962,text,internal,paper_mill
10.1155/2021/4609256,text,internal,paper_mill
10.1155/2022/4247631,text,internal,paper_mill
10.1002/jcb.27873,text,internal,paper_mill
10.1155/2022/8381559,text,internal,paper_mill
10.1039/c8ra09546a,text,internal,paper_mill
10.1155/2022/6940715,text,internal,paper_mill
10.1038/s41401-018-0159-7,text,internal,paper_mill
10.26355/eurrev_201908_18620,text,internal,paper_mill
10.1111/cas.13575,text,internal,paper_mill
10.1039/c7ra12520h,text,internal,paper_mill
10.3892/or.2016.5146,text,internal,paper_mill
10.1016/j.jinorgbio.2021.111655,text,internal,paper_mill
10.1155/2022/2813521,text,internal,paper_mill
10.1177/0300060519870915,text,internal,paper_mill
10.3892/etm.2019.7676,text,internal,paper_mill
10.1080/24701556.2017.1357599,text,internal,paper_mill
10.1080/24701556.2020.1748057,text,internal,paper_mill
10.1155/2022/7051643,text,internal,paper_mill
10.18632/oncotarget.23048,text,internal,paper_mill
10.3892/or.2015.4485,text,internal,paper_mill
10.1155/2022/4552356,text,internal,paper_mill
10.1039/c9ra07900a,text,internal,paper_mill
10.26355/eurrev_202002_20347,text,internal,paper_mill
10.1080/24701556.2019.1569056,text,internal,paper_mill
10.1155/2022/3877984,text,internal,paper_mill
10.1155/2022/6426763,text,internal,paper_mill
